TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000053,AC00115,484.38,2023-06-07 07:03:00,Credit,Miami,D000235,194.174.252.1,M078,ATM,20,Freelancer,145,1,7818.26,2024-11-04 08:06:45
TX000054,AC00055,67.99,2023-09-07 15:02:00,Debit,Los Angeles,D000442,42.219.228.159,M036,Online,29,Freelancer,142,1,6663.26,2024-11-04 08:08:58
TX000055,AC00419,85.37,2023-03-29 22:07:00,Debit,Houston,D000642,186.135.2.148,M095,Online,26,Student,90,1,489.66,2024-11-04 08:10:42
TX000056,AC00374,397.1,2023-08-04 08:40:00,Debit,Chicago,D000013,81.102.230.41,M052,Branch,43,Freelancer,83,1,6568.15,2024-11-04 08:09:15
TX000057,AC00271,800.0,2023-12-14 17:43:00,Transfer,New York,D000462,1.198.76.182,M095,ATM,51,Engineer,52,1,13008.95,2024-11-04 08:09:57
TX000058,AC00456,128.68,2023-03-03 10:04:00,Payment,New York,D000311,198.73.211.114,M075,Branch,47,Engineer,61,1,16516.74,2024-11-04 08:07:49
TX000059,AC00143,386.05,2023-06-09 18:08:00,Credit,San Francisco,D000145,186.54.68.246,M064,Online,41,Engineer,28,1,19460.5,2024-11-04 08:07:09
TX000060,AC00427,253.42,2023-10-02 16:00:00,Payment,Los Angeles,D000089,198.166.198.233,M064,Branch,28,Engineer,51,1,15962.88,2024-11-04 08:11:37
TX000061,AC00438,22.43,2023-10-06 21:54:00,Debit,Los Angeles,D000233,27.143.109.203,M094,Online,41,Doctor,152,2,11647.04,2024-11-04 08:06:25
TX000062,AC00002,123.74,2023-05-16 16:42:00,Credit,Houston,D000285,7.146.35.122,M087,Online,28,Engineer,227,1,6810.1,2024-11-04 08:11:03
TX000063,AC00425,382.11,2023-11-07 11:29:00,Debit,Phoenix,D000516,9.230.41.239,M097,Branch,66,Retired,226,1,6637.44,2024-11-04 08:08:09
TX000064,AC00325,777.94,2023-05-30 01:06:00,Transfer,New York,D000548,125.225.212.244,M001,Online,41,Doctor,104,1,11006.14,2024-11-04 08:08:01
TX000065,AC00434,642.4,2023-11-02 18:21:00,Payment,Miami,D000461,155.164.18.235,M071,ATM,41,Engineer,124,1,3724.76,2024-11-04 08:11:32
TX000066,AC00242,764.63,2023-03-29 11:19:00,Transfer,New York,D000098,145.246.171.225,M003,Online,41,Doctor,186,1,12264.53,2024-11-04 08:11:41
TX000067,AC00319,580.64,2023-04-25 16:28:00,Debit,New York,D000435,92.214.76.157,M005,ATM,25,Engineer,225,1,11150.61,2024-11-04 08:10:12
TX000068,AC00460,146.57,2023-04-18 07:26:00,Transfer,New York,D000305,131.41.45.13,M063,Branch,73,Retired,128,1,11430.19,2024-11-04 08:12:10
TX000069,AC00461,782.7,2023-02-09 20:24:00,Debit,San Francisco,D000128,46.150.175.171,M057,Online,38,Engineer,16,1,13808.59,2024-11-04 08:07:11
TX000070,AC00395,153.36,2023-11-13 12:45:00,Payment,New York,D000684,125.89.163.224,M040,ATM,41,Unemployed,103,4,850.6,2024-11-04 08:08:42
TX000071,AC00217,189.56,2023-07-18 21:34:00,Credit,New York,D000201,40.226.196.34,M091,Online,73,Retired,220,1,7047.57,2024-11-04 08:10:18
TX000072,AC00053,113.96,2023-01-13 16:26:00,Credit,Chicago,D000410,65.164.3.100,M066,ATM,41,Engineer,135,1,16723.68,2024-11-04 08:09:26
TX000073,AC00282,739.25,2023-07-04 07:10:00,Credit,San Francisco,D000180,9.230.41.239,M070,Online,23,Engineer,55,2,6522.65,2024-11-04 08:12:15
TX000074,AC00110,192.92,2023-10-20 14:16:00,Transfer,Los Angeles,D000295,152.140.239.181,M046,Online,63,Retired,280,2,2198.47,2024-11-04 08:08:45
TX000075,AC00265,170.02,2023-10-04 20:30:00,Debit,Chicago,D000231,193.83.0.183,M036,Online,20,Student,24,3,418.56,2024-11-04 08:06:51
TX000076,AC00239,304.87,2023-12-28 18:17:00,Transfer,New York,D000073,156.173.170.140,M066,Online,22,Student,51,1,907.85,2024-11-04 08:09:17
TX000077,AC00007,105.38,2023-06-12 11:18:00,Debit,Chicago,D000070,60.153.124.80,M060,Branch,80,Retired,113,1,1995.01,2024-11-04 08:08:22
TX000078,AC00022,1171.63,2023-03-13 22:49:00,Transfer,Miami,D000363,94.37.250.128,M095,Online,40,Engineer,69,1,15053.69,2024-11-04 08:11:36
TX000079,AC00464,223.44,2023-12-18 09:37:00,Transfer,Miami,D000561,162.198.218.92,M045,Online,58,Doctor,77,1,13127.95,2024-11-04 08:06:50
TX000080,AC00014,284.51,2023-07-17 11:28:00,Transfer,Chicago,D000375,130.92.201.49,M032,Online,42,Engineer,67,1,1388.14,2024-11-04 08:10:29
TX000081,AC00406,352.82,2023-06-19 17:14:00,Credit,Los Angeles,D000488,86.103.2.29,M074,Online,57,Retired,102,1,610.51,2024-11-04 08:09:51
TX000082,AC00445,174.49,2023-10-23 09:06:00,Credit,New York,D000097,131.41.45.13,M081,ATM,32,Student,80,1,2402.89,2024-11-04 08:08:16
TX000083,AC00236,988.54,2023-01-23 13:36:00,Debit,Chicago,D000206,21.97.154.92,M004,Branch,32,Engineer,87,1,8302.53,2024-11-04 08:11:07
TX000084,AC00220,341.05,2023-11-06 17:36:00,Transfer,New York,D000616,36.13.239.172,M028,Online,34,Engineer,170,1,16301.39,2024-11-04 08:09:38
TX000085,AC00140,8.28,2023-07-03 15:06:00,Debit,Phoenix,D000494,167.104.180.235,M030,Branch,21,Engineer,157,1,6043.95,2024-11-04 08:09:42
TX000086,AC00098,328.31,2023-09-29 08:21:00,Credit,Seattle,D000574,165.114.224.47,M012,ATM,34,Engineer,30,2,6482.08,2024-11-04 08:06:53
TX000087,AC00303,162.54,2023-10-20 15:11:00,Debit,Seattle,D000428,16.131.3.140,M033,Online,18,Student,69,1,1140.7,2024-11-04 08:12:05
TX000088,AC00373,167.77,2023-08-28 14:07:00,Debit,Dallas,D000018,8.243.4.138,M054,ATM,20,Student,115,1,416.0,2024-11-04 08:07:32
TX000089,AC00438,255.17,2023-06-22 14:56:00,Transfer,Miami,D000453,132.127.5.187,M043,Online,38,Freelancer,179,1,19971.33,2024-11-04 08:09:10
TX000090,AC00437,1048.39,2023-11-20 18:17:00,Debit,Las Vegas,D000141,186.54.68.246,M022,ATM,35,Doctor,100,1,15454.65,2024-11-04 08:08:38
TX000091,AC00106,734.46,2023-09-14 08:27:00,Transfer,Los Angeles,D000322,101.223.82.253,M052,Branch,23,Engineer,34,1,9372.88,2024-11-04 08:08:12
TX000092,AC00310,23.41,2023-10-02 17:17:00,Debit,Miami,D000481,133.223.159.151,M009,Online,18,Student,55,1,335.04,2024-11-04 08:08:01
TX000093,AC00149,500.32,2023-03-27 17:30:00,Debit,Houston,D000526,60.43.160.195,M049,Branch,55,Retired,135,1,3330.02,2024-11-04 08:10:44
TX000094,AC00373,922.23,2023-12-21 16:16:00,Credit,Houston,D000645,168.36.49.167,M047,ATM,49,Doctor,260,1,20634.59,2024-11-04 08:08:21
TX000095,AC00425,334.6,2023-03-02 13:22:00,Debit,Phoenix,D000178,165.38.56.205,M093,Online,56,Retired,72,1,4200.26,2024-11-04 08:08:04
TX000096,AC00010,990.33,2023-06-26 11:10:00,Debit,Los Angeles,D000622,193.108.17.115,M048,ATM,45,Doctor,127,1,11719.14,2024-11-04 08:09:32
TX000097,AC00348,603.54,2023-04-18 11:14:00,Transfer,Los Angeles,D000019,175.230.206.232,M002,Online,28,Doctor,185,5,18919.14,2024-11-04 08:10:47
TX000098,AC00011,33.79,2023-07-17 17:29:00,Debit,Dallas,D000192,62.152.134.92,M007,Branch,39,Doctor,78,1,19018.01,2024-11-04 08:11:05
TX000099,AC00453,168.55,2023-09-01 13:51:00,Transfer,New York,D000093,149.84.108.18,M028,ATM,29,Engineer,133,1,12884.96,2024-11-04 08:07:22
TX000100,AC00178,239.9,2023-09-11 10:30:00,Debit,Houston,D000528,134.222.122.238,M004,Online,32,Engineer,175,1,6423.73,2024-11-04 08:08:38
TX000101,AC00265,598.06,2023-01-24 15:56:00,Debit,Dallas,D000321,18.72.115.111,M066,Online,26,Engineer,24,1,11838.58,2024-11-04 08:11:07
TX000102,AC00018,130.4,2023-08-11 18:05:00,Transfer,Miami,D000528,34.125.226.63,M095,ATM,23,Student,167,1,1453.98,2024-11-04 08:10:02
TX000103,AC00075,420.92,2023-10-16 05:11:00,Debit,Houston,D000607,21.28.32.1,M009,Online,25,Engineer,164,1,9839.11,2024-11-04 08:10:52
TX000104,AC00464,991.15,2023-02-24 22:22:00,Debit,Los Angeles,D000164,204.34.243.93,M099,Online,34,Doctor,146,3,22429.41,2024-11-04 08:08:32
TX000105,AC00170,485.11,2023-01-02 06:38:00,Debit,Chicago,D000647,111.226.226.202,M045,Online,25,Freelancer,235,1,13643.08,2024-11-04 08:06:35
TX000106,AC00235,595.39,2023-11-30 13:39:00,Debit,Dallas,D000078,96.115.67.230,M047,Online,25,Engineer,51,3,17789.66,2024-11-04 08:10:48
TX000107,AC00013,491.85,2023-11-01 14:35:00,Transfer,Miami,D000182,115.218.48.83,M032,Online,29,Doctor,80,1,16313.8,2024-11-04 08:09:24
TX000108,AC00397,268.61,2023-03-06 07:34:00,Debit,Houston,D000028,174.61.77.54,M012,Online,57,Retired,17,2,5103.91,2024-11-04 08:11:40
TX000109,AC00423,491.35,2023-11-27 20:02:00,Transfer,New York,D000518,216.151.64.40,M083,Online,45,Engineer,35,1,9581.1,2024-11-04 08:09:22
TX000110,AC00154,563.89,2023-07-31 12:41:00,Payment,New York,D000469,197.162.55.147,M055,ATM,34,Engineer,147,2,12141.7,2024-11-04 08:10:42
TX000111,AC00068,290.31,2023-11-22 07:55:00,Credit,Seattle,D000400,77.7.223.184,M077,Online,45,Engineer,73,1,12831.69,2024-11-04 08:07:35
TX000112,AC00318,489.52,2023-03-21 16:27:00,Payment,Chicago,D000536,44.197.126.59,M089,Online,32,Engineer,180,1,9901.31,2024-11-04 08:10:26
TX000113,AC00396,534.9,2023-04-20 15:14:00,Debit,Miami,D000477,143.212.47.226,M012,Online,28,Freelancer,174,1,10374.1,2024-11-04 08:06:56
TX000114,AC00121,72.44,2023-03-01 22:12:00,Payment,New York,D000574,51.250.122.123,M009,ATM,70,Retired,282,1,10144.13,2024-11-04 08:09:36
TX000115,AC00336,117.32,2023-02-10 12:18:00,Debit,Las Vegas,D000655,188.124.181.12,M051,Online,22,Student,104,2,2719.79,2024-11-04 08:06:30
TX000116,AC00468,559.31,2023-07-21 09:39:00,Transfer,Seattle,D000673,44.73.3.217,M042,Online,35,Freelancer,107,1,2098.32,2024-11-04 08:09:53
TX000117,AC00282,343.03,2023-10-09 05:17:00,Credit,Miami,D000266,85.240.254.83,M040,Online,77,Retired,47,1,3912.01,2024-11-04 08:12:18
TX000118,AC00498,141.79,2024-01-01 17:30:00,Debit,New York,D000256,101.90.40.193,M086,Branch,32,Engineer,122,1,15848.51,2024-11-04 08:07:42
TX000119,AC00085,239.39,2023-07-07 15:36:00,Transfer,Miami,D000544,98.255.160.110,M041,ATM,33,Freelancer,62,1,6704.36,2024-11-04 08:06:30
TX000120,AC00092,44.09,2023-05-22 22:20:00,Transfer,Phoenix,D000663,124.6.134.78,M086,ATM,54,Doctor,167,1,24656.68,2024-11-04 08:10:02
TX000121,AC00295,638.14,2023-08-16 16:38:00,Debit,Chicago,D000489,45.64.74.86,M025,ATM,77,Retired,121,1,5322.3,2024-11-04 08:08:43
TX000122,AC00358,436.53,2023-11-17 21:04:00,Debit,Dallas,D000434,69.82.61.135,M028,ATM,35,Freelancer,165,1,9642.18,2024-11-04 08:10:13
TX000123,AC00311,806.53,2023-05-22 23:56:00,Transfer,Las Vegas,D000314,79.227.202.117,M076,Online,32,Engineer,91,4,16888.07,2024-11-04 08:11:32
TX000124,AC00066,229.72,2023-08-25 12:50:00,Transfer,Dallas,D000037,26.240.219.199,M006,ATM,18,Engineer,61,1,9555.17,2024-11-04 08:11:00
TX000125,AC00340,758.65,2023-11-27 07:56:00,Payment,Miami,D000021,63.67.150.226,M001,Online,39,Engineer,41,1,13465.6,2024-11-04 08:10:48
TX000126,AC00284,1140.82,2023-08-04 08:16:00,Transfer,New York,D000112,195.226.203.234,M026,ATM,30,Doctor,247,2,20952.25,2024-11-04 08:11:56
TX000127,AC00208,181.47,2023-09-04 10:18:00,Payment,Los Angeles,D000042,92.214.76.157,M081,ATM,52,Retired,158,1,1672.72,2024-11-04 08:10:13
TX000128,AC00176,182.32,2023-08-09 13:03:00,Transfer,Los Angeles,D000276,101.223.82.253,M083,Online,71,Retired,80,4,6358.39,2024-11-04 08:09:58
TX000129,AC00053,349.92,2023-09-07 07:53:00,Debit,Dallas,D000687,77.21.150.75,M005,Online,34,Engineer,108,1,7362.36,2024-11-04 08:07:42
TX000130,AC00320,1439.76,2023-07-11 10:25:00,Debit,Phoenix,D000015,53.218.177.171,M062,Online,49,Doctor,144,3,20593.44,2024-11-04 08:09:24
TX000131,AC00382,583.5,2023-07-03 10:23:00,Transfer,Las Vegas,D000118,147.234.20.46,M004,ATM,33,Doctor,105,1,13594.5,2024-11-04 08:07:25
TX000132,AC00384,480.6,2023-09-25 00:38:00,Transfer,Los Angeles,D000052,203.99.96.114,M059,ATM,35,Engineer,40,1,14819.01,2024-11-04 08:11:55
TX000133,AC00203,271.51,2023-11-20 10:55:00,Debit,Los Angeles,D000339,65.27.212.129,M055,Branch,18,Engineer,273,1,13164.12,2024-11-04 08:08:45
TX000134,AC00498,115.2,2023-11-17 07:53:00,Debit,Phoenix,D000236,85.240.254.83,M098,Online,35,Engineer,254,1,10180.3,2024-11-04 08:10:53
TX000135,AC00349,748.71,2023-08-21 12:37:00,Payment,Houston,D000635,62.251.170.72,M034,ATM,28,Freelancer,75,1,9992.88,2024-11-04 08:09:32
TX000136,AC00177,103.43,2023-10-16 08:45:00,Credit,Los Angeles,D000465,161.177.41.214,M065,ATM,31,Engineer,124,1,13649.66,2024-11-04 08:11:59
TX000137,AC00284,1463.65,2023-06-20 18:53:00,Credit,Miami,D000170,138.87.180.254,M060,Branch,56,Doctor,68,1,20196.51,2024-11-04 08:07:03
TX000138,AC00272,148.94,2023-01-16 06:18:00,Credit,New York,D000426,203.99.96.114,M003,ATM,23,Student,18,2,1676.83,2024-11-04 08:09:57
TX000139,AC00405,636.53,2023-11-22 19:29:00,Debit,Los Angeles,D000661,100.4.40.132,M067,Online,38,Doctor,118,1,20818.3,2024-11-04 08:08:25
TX000140,AC00385,20.12,2023-09-01 14:25:00,Debit,Houston,D000553,45.182.28.148,M045,ATM,40,Unemployed,120,1,405.48,2024-11-04 08:08:47
TX000141,AC00403,147.98,2023-10-23 12:51:00,Debit,New York,D000556,18.72.115.111,M090,ATM,30,Unemployed,246,1,459.39,2024-11-04 08:09:43
TX000142,AC00114,103.4,2023-10-23 14:10:00,Debit,Seattle,D000522,121.67.144.20,M052,Branch,36,Engineer,21,1,14964.28,2024-11-04 08:10:34
TX000143,AC00163,447.82,2023-07-03 11:53:00,Transfer,Los Angeles,D000439,197.162.55.147,M057,Online,45,Doctor,294,1,13219.28,2024-11-04 08:11:34
TX000144,AC00108,322.83,2023-10-24 07:38:00,Credit,New York,D000600,96.115.67.230,M030,Online,34,Engineer,17,1,18151.94,2024-11-04 08:11:17
TX000145,AC00397,483.56,2023-09-25 17:02:00,Transfer,Los Angeles,D000369,33.212.169.157,M019,Branch,31,Engineer,166,1,13987.41,2024-11-04 08:07:21
TX000146,AC00434,723.11,2023-02-16 21:51:00,Payment,Phoenix,D000241,163.129.70.210,M085,ATM,40,Engineer,92,5,16442.05,2024-11-04 08:07:24
TX000147,AC00385,5052.41,2023-08-30 22:21:00,Debit,Chicago,D000292,202.194.199.70,M026,ATM,18,Student,296,1,2255.11,2024-11-04 08:11:44
TX000148,AC00161,5354.15,2023-04-13 16:16:00,Transfer,Miami,D000109,23.92.205.75,M056,Online,36,Doctor,142,1,27554.26,2024-11-04 08:10:01
TX000149,AC00333,286.27,2023-07-28 11:10:00,Credit,New York,D000330,140.212.253.222,M077,Online,43,Engineer,141,1,21524.28,2024-11-04 08:10:23
TX000150,AC00279,155.41,2023-02-06 12:46:00,Payment,New York,D000158,3.157.63.220,M049,ATM,32,Engineer,92,3,6830.17,2024-11-04 08:12:18
TX000151,AC00072,745.86,2023-07-24 15:38:00,Debit,Chicago,D000413,216.151.64.40,M073,ATM,33,Freelancer,113,1,12110.43,2024-11-04 08:09:04
TX000152,AC00242,12.81,2023-11-20 18:46:00,Transfer,San Francisco,D000548,113.115.81.178,M039,Online,23,Engineer,293,5,17856.61,2024-11-04 08:08:14
TX000153,AC00303,564.02,2023-10-09 11:26:00,Transfer,Dallas,D000605,216.32.4.105,M078,Online,24,Engineer,160,4,7604.26,2024-11-04 08:08:34
TX000154,AC00442,1254.83,2023-11-03 20:48:00,Debit,New York,D000070,210.160.90.52,M009,Branch,20,Doctor,265,1,38988.05,2024-11-04 08:09:41
TX000155,AC00087,203.63,2023-02-15 10:42:00,Debit,Houston,D000481,82.88.241.226,M081,Online,41,Unemployed,245,4,993.73,2024-11-04 08:09:58
TX000156,AC00174,834.96,2023-09-04 13:28:00,Transfer,Dallas,D000226,34.92.221.183,M058,Branch,38,Engineer,171,1,8432.75,2024-11-04 08:11:01
TX000157,AC00421,154.17,2023-07-27 22:59:00,Transfer,Chicago,D000436,182.225.2.156,M092,Online,19,Student,72,4,1821.46,2024-11-04 08:12:04
TX000158,AC00111,149.0,2023-04-17 21:11:00,Debit,San Francisco,D000108,191.91.45.159,M030,ATM,76,Retired,129,1,11895.56,2024-11-04 08:08:40
TX000159,AC00275,799.9,2023-09-19 16:12:00,Transfer,New York,D000678,111.78.64.133,M057,Branch,45,Engineer,122,1,11941.0,2024-11-04 08:11:40
TX000160,AC00492,91.97,2023-05-31 10:57:00,Debit,Seattle,D000310,215.97.143.157,M035,ATM,22,Student,99,1,278.81,2024-11-04 08:06:30
TX000161,AC00380,287.94,2023-10-09 08:10:00,Transfer,Phoenix,D000491,167.104.180.235,M002,Online,25,Doctor,177,2,12742.95,2024-11-04 08:07:31
TX000162,AC00227,125.27,2023-01-09 06:30:00,Debit,Seattle,D000076,128.16.32.183,M049,ATM,18,Student,285,1,1981.09,2024-11-04 08:06:33
TX000163,AC00257,9.5,2023-05-26 16:10:00,Payment,Las Vegas,D000456,10.144.131.89,M085,Online,26,Student,53,5,588.78,2024-11-04 08:09:22
TX000164,AC00062,894.11,2023-08-14 13:56:00,Debit,Chicago,D000115,161.168.126.136,M028,Online,23,Doctor,125,3,14238.52,2024-11-04 08:07:39
TX000165,AC00383,632.98,2023-11-24 14:57:00,Debit,Seattle,D000281,198.39.35.23,M100,Branch,20,Engineer,137,1,8769.85,2024-11-04 08:09:21
